37,30,161.5927121,52.32887963,100000,50000,0,218,10,90,1
41,30,160.6790321,51.62020963,100000,50000,0,218,10,90,1
72,30,159.7798821,50.91152963,100000,50000,0,218,10,90,1
110,30,158.8946721,50.20284963,100000,50000,0,218,10,90,1
148,30,158.0228421,49.49417963,100000,50000,0,218,10,90,1
187,30,157.1638721,48.78549963,100000,50000,0,218,10,90,1
21,30,161.0168621,52.60150963,100000,50000,8.68,218,20,90,1
28,30,160.1123421,51.89283963,100000,50000,8.68,218,20,90,1
66,30,159.2219721,51.18415963,100000,50000,8.68,218,20,90,1
105,30,158.3452021,50.47548963,100000,50000,8.68,218,20,90,1
145,30,157.4814821,49.76680963,100000,50000,8.68,218,20,90,1
185,30,156.6303021,49.05813963,100000,50000,8.68,218,20,90,1
17,30,160.4639521,52.86165963,100000,50000,25.78,218,25,90,1
25,30,159.5683021,52.15297963,100000,50000,25.78,218,25,90,1
64,30,158.6864421,51.44430963,100000,50000,25.78,218,25,90,1
104,30,157.8178421,50.73562963,100000,50000,25.78,218,25,90,1
144,30,156.9619721,50.02695963,100000,50000,25.78,218,25,90,1
184,30,156.1183521,49.31827963,100000,50000,25.78,218,25,90,1
28,30,159.9274421,53.11255963,100000,50000,46.91,218,30,90,1
34,30,159.0404921,52.40387963,100000,50000,46.91,218,30,90,1
68,30,158.1669621,51.69520963,100000,50000,46.91,218,30,90,1
106,30,157.3063821,50.98652963,100000,50000,46.91,218,30,90,1
144,30,156.4581821,50.27785963,100000,50000,46.91,218,30,90,1
184,30,155.6219521,49.56917963,100000,50000,46.91,218,30,90,1
