time_utc;sealevel_m
2025-07-29 00:00:00;5797.336
2025-07-29 00:15:00;5797.347
2025-07-29 00:30:00;5797.345
2025-07-29 00:45:00;5797.335
2025-07-29 01:00:00;5797.316
2025-07-29 01:15:00;5797.289
2025-07-29 01:30:00;5797.253
2025-07-29 01:45:00;5797.203
2025-07-29 02:00:00;5797.148
2025-07-29 02:15:00;5797.087
2025-07-29 02:30:00;5797.017
2025-07-29 02:45:00;5796.94
2025-07-29 03:00:00;5796.858
2025-07-29 03:15:00;5796.775
2025-07-29 03:30:00;5796.694
2025-07-29 03:45:00;5796.61
2025-07-29 04:00:00;5796.527
2025-07-29 04:15:00;5796.446
2025-07-29 04:30:00;5796.367
2025-07-29 04:45:00;5796.293
2025-07-29 05:00:00;5796.229
2025-07-29 05:15:00;5796.17
2025-07-29 05:30:00;5796.119
2025-07-29 05:45:00;5796.078
2025-07-29 06:00:00;5796.047
2025-07-29 06:15:00;5796.024
2025-07-29 06:30:00;5796.014
2025-07-29 06:45:00;5796.015
2025-07-29 07:00:00;5796.025
2025-07-29 07:15:00;5796.041
2025-07-29 07:30:00;5796.073
2025-07-29 07:45:00;5796.115
2025-07-29 08:00:00;5796.168
2025-07-29 08:15:00;5796.227
2025-07-29 08:30:00;5796.294
2025-07-29 08:45:00;5796.365
2025-07-29 09:00:00;5796.444
2025-07-29 09:15:00;5796.526
2025-07-29 09:30:00;5796.612
2025-07-29 09:45:00;5796.695
2025-07-29 10:00:00;5796.778
2025-07-29 10:15:00;5796.861
2025-07-29 10:30:00;5796.941
2025-07-29 10:45:00;5797.015
2025-07-29 11:00:00;5797.086
2025-07-29 11:15:00;9999.0
2025-07-29 11:30:00;9999.0
2025-07-29 11:45:00;9999.0
2025-07-29 12:00:00;9999.0
2025-07-29 12:15:00;5797.339
2025-07-29 12:30:00;5797.362
2025-07-29 12:45:00;5797.376
2025-07-29 13:00:00;5797.382
2025-07-29 13:15:00;5797.377
2025-07-29 13:30:00;5797.361
2025-07-29 13:45:00;5797.337
2025-07-29 14:00:00;5797.303
2025-07-29 14:15:00;5797.26
2025-07-29 14:30:00;5797.211
2025-07-29 14:45:00;5797.154
2025-07-29 15:00:00;5797.091
2025-07-29 15:15:00;5797.021
2025-07-29 15:30:00;5796.952
2025-07-29 15:45:00;5796.878
2025-07-29 16:00:00;5796.8
2025-07-29 16:15:00;5796.725
2025-07-29 16:30:00;5796.649
2025-07-29 16:45:00;5796.582
2025-07-29 17:00:00;5796.516
2025-07-29 17:15:00;5796.453
2025-07-29 17:30:00;5796.397
2025-07-29 17:45:00;5796.347
2025-07-29 18:00:00;5796.307
2025-07-29 18:15:00;5796.273
2025-07-29 18:30:00;5796.246
2025-07-29 18:45:00;5796.227
2025-07-29 19:00:00;5796.222
2025-07-29 19:15:00;5796.224
2025-07-29 19:30:00;5796.236
2025-07-29 19:45:00;5796.255
2025-07-29 20:00:00;5796.283
2025-07-29 20:15:00;5796.318
2025-07-29 20:30:00;5796.362
2025-07-29 20:45:00;5796.409
2025-07-29 21:00:00;5796.462
2025-07-29 21:15:00;5796.518
2025-07-29 21:30:00;5796.58
2025-07-29 21:45:00;5796.646
2025-07-29 22:00:00;5796.716
2025-07-29 22:00:00;5796.714
2025-07-29 22:01:00;5796.721
2025-07-29 22:02:00;5796.725
2025-07-29 22:03:00;5796.729
2025-07-29 22:04:00;5796.734
2025-07-29 22:05:00;5796.739
2025-07-29 22:06:00;5796.743
2025-07-29 22:07:00;5796.748
2025-07-29 22:08:00;5796.752
2025-07-29 22:09:00;5796.756
2025-07-29 22:10:00;5796.76
2025-07-29 22:11:00;5796.765
2025-07-29 22:12:00;5796.768
2025-07-29 22:13:00;5796.773
2025-07-29 22:14:00;5796.778
2025-07-29 22:15:00;5796.78
2025-07-29 22:15:00;5796.782
2025-07-29 22:16:00;5796.787
2025-07-29 22:17:00;5796.791
2025-07-29 22:18:00;5796.796
2025-07-29 22:19:00;5796.802
2025-07-29 22:20:00;5796.806
2025-07-29 22:21:00;5796.81
2025-07-29 22:22:00;5796.815
2025-07-29 22:23:00;5796.819
2025-07-29 22:24:00;5796.823
2025-07-29 22:25:00;5796.828
2025-07-29 22:26:00;5796.832
2025-07-29 22:27:00;5796.836
2025-07-29 22:28:00;5796.841
2025-07-29 22:29:00;5796.845
2025-07-29 22:30:00;5796.848
2025-07-29 22:30:00;5796.849
2025-07-29 22:31:00;5796.853
2025-07-29 22:32:00;5796.857
2025-07-29 22:33:00;5796.862
2025-07-29 22:34:00;5796.866
2025-07-29 22:35:00;5796.87
2025-07-29 22:36:00;5796.873
2025-07-29 22:37:00;5796.878
2025-07-29 22:38:00;5796.882
2025-07-29 22:39:00;5796.886
2025-07-29 22:40:00;5796.89
2025-07-29 22:41:00;5796.894
