time_utc;sealevel_m
2025-07-29 00:00:00;4950.977
2025-07-29 00:15:00;4950.923
2025-07-29 00:30:00;4950.873
2025-07-29 00:45:00;4950.83
2025-07-29 01:00:00;4950.792
2025-07-29 01:15:00;4950.76
2025-07-29 01:30:00;4950.733
2025-07-29 01:45:00;4950.721
2025-07-29 02:00:00;4950.716
2025-07-29 02:15:00;4950.718
2025-07-29 02:30:00;4950.733
2025-07-29 02:45:00;4950.754
2025-07-29 03:00:00;4950.783
2025-07-29 03:15:00;4950.821
2025-07-29 03:30:00;4950.86
2025-07-29 03:45:00;4950.907
2025-07-29 04:00:00;4950.955
2025-07-29 04:15:00;4951.011
2025-07-29 04:30:00;4951.068
2025-07-29 04:45:00;4951.128
2025-07-29 05:00:00;4951.192
2025-07-29 05:15:00;4951.256
2025-07-29 05:30:00;4951.318
2025-07-29 05:45:00;4951.378
2025-07-29 06:00:00;4951.434
2025-07-29 06:15:00;4951.488
2025-07-29 06:30:00;4951.537
2025-07-29 06:45:00;4951.579
2025-07-29 07:00:00;4951.618
2025-07-29 07:15:00;4951.65
2025-07-29 07:30:00;4951.674
2025-07-29 07:45:00;4951.691
2025-07-29 08:00:00;4951.7
2025-07-29 08:15:00;4951.703
2025-07-29 08:30:00;4951.698
2025-07-29 08:45:00;4951.685
2025-07-29 09:00:00;4951.662
2025-07-29 09:15:00;4951.637
2025-07-29 09:30:00;4951.604
2025-07-29 09:45:00;4951.565
2025-07-29 10:00:00;4951.518
2025-07-29 10:15:00;4951.47
2025-07-29 10:30:00;4951.418
2025-07-29 10:45:00;4951.366
2025-07-29 11:00:00;4951.313
2025-07-29 11:15:00;4951.254
2025-07-29 11:30:00;4951.198
2025-07-29 11:45:00;4951.143
2025-07-29 12:00:00;4951.089
2025-07-29 12:15:00;4951.04
2025-07-29 12:30:00;4950.993
2025-07-29 12:45:00;4950.952
2025-07-29 13:00:00;4950.919
2025-07-29 13:15:00;4950.883
2025-07-29 13:30:00;4950.854
2025-07-29 13:45:00;4950.832
2025-07-29 14:00:00;4950.821
2025-07-29 14:15:00;4950.814
2025-07-29 14:30:00;4950.817
2025-07-29 14:45:00;4950.827
2025-07-29 15:00:00;4950.844
2025-07-29 15:15:00;4950.868
2025-07-29 15:30:00;4950.903
2025-07-29 15:45:00;4950.941
2025-07-29 16:00:00;4950.985
2025-07-29 16:15:00;4951.03
2025-07-29 16:30:00;4951.082
2025-07-29 16:45:00;4951.137
2025-07-29 17:00:00;4951.191
2025-07-29 17:15:00;4951.245
2025-07-29 17:30:00;4951.3
2025-07-29 17:45:00;4951.357
2025-07-29 18:00:00;4951.408
2025-07-29 18:15:00;4951.461
2025-07-29 18:30:00;4951.51
2025-07-29 18:45:00;4951.554
2025-07-29 19:00:00;4951.592
2025-07-29 19:15:00;4951.626
2025-07-29 19:30:00;4951.653
2025-07-29 19:45:00;4951.67
2025-07-29 20:00:00;4951.684
2025-07-29 20:15:00;4951.69
2025-07-29 20:30:00;4951.688
2025-07-29 20:45:00;4951.683
2025-07-29 21:00:00;4951.672
2025-07-29 21:15:00;4951.649
2025-07-29 21:30:00;4951.623
2025-07-29 21:45:00;4951.591
2025-07-29 22:00:00;4951.554
2025-07-29 22:00:00;4951.554
2025-07-29 22:01:00;4951.55
2025-07-29 22:02:00;4951.547
2025-07-29 22:03:00;4951.544
2025-07-29 22:04:00;4951.542
2025-07-29 22:05:00;4951.539
2025-07-29 22:06:00;4951.537
2025-07-29 22:07:00;4951.534
2025-07-29 22:08:00;4951.53
2025-07-29 22:09:00;4951.527
2025-07-29 22:10:00;4951.525
2025-07-29 22:11:00;4951.523
2025-07-29 22:12:00;4951.519
2025-07-29 22:13:00;4951.517
2025-07-29 22:14:00;4951.513
2025-07-29 22:15:00;4951.511
2025-07-29 22:15:00;4951.512
2025-07-29 22:16:00;4951.507
